Position,Student Name,Roll Number,Year,Section,Bench Number,Seat Number,Row,Column
R1C1,Student 35,1RV23CS035,2,A,,,1,1
R1C3,Student 29,1RV23CS029,2,A,,,1,3
R1C5,Student 5,1RV23CS005,2,A,,,1,5
R1C7,Student 45,1RV23CS045,2,A,,,1,7
R1C9,Student 11,1RV23CS011,2,A,,,1,9
R2C2,Student 4,1RV23CS004,2,B,,,2,2
R2C4,Student 24,1RV23CS024,2,B,,,2,4
R2C6,Student 67,1RV23CS067,2,A,,,2,6
R2C8,Student 27,1RV23CS027,2,A,,,2,8
R2C10,Student 7,1RV23CS007,2,A,,,2,10
R3C1,Student 1,1RV23CS001,2,A,,,3,1
R3C3,Student 65,1RV23CS065,2,A,,,3,3
R3C5,Student 64,1RV23CS064,2,B,,,3,5
R3C7,Student 34,1RV23CS034,2,B,,,3,7
R3C9,Student 63,1RV23CS063,2,A,,,3,9
R4C2,Student 58,1RV23CS058,2,B,,,4,2
R4C4,Student 66,1RV23CS066,2,B,,,4,4
R4C6,Student 2,1RV23CS002,2,B,,,4,6
R4C8,Student 47,1RV23CS047,2,A,,,4,8
R4C10,Student 9,1RV23CS009,2,A,,,4,10
R5C1,Student 41,1RV23CS041,2,A,,,5,1
R5C3,Student 33,1RV23CS033,2,A,,,5,3
R5C5,Student 68,1RV23CS068,2,B,,,5,5
R5C7,Student 42,1RV23CS042,2,B,,,5,7
R5C9,Student 50,1RV23CS050,2,B,,,5,9
R6C2,Student 31,1RV23CS031,2,A,,,6,2
R6C4,Student 19,1RV23CS019,2,A,,,6,4
R6C6,Student 36,1RV23CS036,2,B,,,6,6
R6C8,Student 61,1RV23CS061,2,A,,,6,8
R6C10,Student 3,1RV23CS003,2,A,,,6,10
R7C1,Student 8,1RV23CS008,2,B,,,7,1
R7C3,Student 32,1RV23CS032,2,B,,,7,3
R7C5,Student 12,1RV23CS012,2,B,,,7,5
R7C7,Student 51,1RV23CS051,2,A,,,7,7
R7C9,Student 56,1RV23CS056,2,B,,,7,9
R8C2,Student 53,1RV23CS053,2,A,,,8,2
R8C4,Student 52,1RV23CS052,2,B,,,8,4
R8C6,Student 28,1RV23CS028,2,B,,,8,6
R8C8,Student 60,1RV23CS060,2,B,,,8,8
R8C10,Student 55,1RV23CS055,2,A,,,8,10
R9C1,Student 25,1RV23CS025,2,A,,,9,1
R9C3,Student 46,1RV23CS046,2,B,,,9,3
R9C5,Student 21,1RV23CS021,2,A,,,9,5
R9C7,Student 16,1RV23CS016,2,B,,,9,7
R9C9,Student 6,1RV23CS006,2,B,,,9,9
R10C2,Student 40,1RV23CS040,2,B,,,10,2
R10C4,Student 39,1RV23CS039,2,A,,,10,4
R10C6,Student 62,1RV23CS062,2,B,,,10,6
R10C8,Student 20,1RV23CS020,2,B,,,10,8
R10C10,Student 10,1RV23CS010,2,B,,,10,10
